city_name,country_iso_code,country_name,region_1_iso_code,region_1_name,region_2_iso_code,region_2_name
Sharjah,AE,United Arab Emirates,SH,Sharjah,,
Al Ḩazaywah,AE,United Arab Emirates,UQ,Umm al Qaywayn,,
Lazīmah,AE,United Arab Emirates,UQ,Umm al Qaywayn,,
Muhadhdhib,AE,United Arab Emirates,UQ,Umm al Qaywayn,,
Umm Al Quwain City,AE,United Arab Emirates,UQ,Umm al Qaywayn,,
Umm al Qaywayn,AE,United Arab Emirates,UQ,Umm al Qaywayn,,
Balkh,AF,Afghanistan,BAL,Balkh,,
Baghlan,AF,Afghanistan,BGL,Baghlan,,
Ghazni,AF,Afghanistan,GHA,Ghazni,,
Mazār-e Suflá,AF,Afghanistan,HEL,Helmand,,
Herat,AF,Afghanistan,HER,Herat,,
Kabul,AF,Afghanistan,KAB,Kabul,,
Gāgrē,AF,Afghanistan,KAN,Kandahar,,
Kandahar,AF,Afghanistan,KAN,Kandahar,,
Khān,AF,Afghanistan,KHO,Khowst,,
Jalalabad,AF,Afghanistan,NAN,Nangarhar,,
Larkird,AF,Afghanistan,SAR,Sar-e Pol Province,,
Piggotts,AG,Antigua and Barbuda,03,Saint George Parish,,
Cedar Grove,AG,Antigua and Barbuda,04,Saint John Parish,,
Potters Village,AG,Antigua and Barbuda,04,Saint John Parish,,
St John's,AG,Antigua and Barbuda,04,Saint John Parish,,
Bolands,AG,Antigua and Barbuda,05,Saint Mary Parish,,
Old Road,AG,Antigua and Barbuda,05,Saint Mary Parish,,
English Harbour Town,AG,Antigua and Barbuda,06,Saint Paul Parish,,
Falmouth,AG,Antigua and Barbuda,06,Saint Paul Parish,,
Liberta,AG,Antigua and Barbuda,06,Saint Paul Parish,,
Swetes,AG,Antigua and Barbuda,06,Saint Paul Parish,,
All Saints,AG,Antigua and Barbuda,07,Saint Peter Parish,,
Parham,AG,Antigua and Barbuda,07,Saint Peter Parish,,
Freetown,AG,Antigua and Barbuda,08,Saint Philip Parish,,
Codrington,AG,Antigua and Barbuda,10,Barbuda,,
Blowing Point Village,AI,Anguilla,,,,
Farrington,AI,Anguilla,,,,
Sandy Ground Village,AI,Anguilla,,,,
Shoal Bay Village,AI,Anguilla,,,,
South Hill Village,AI,Anguilla,,,,
Stoney Ground,AI,Anguilla,,,,
The Copse,AI,Anguilla,,,,
The Forest,AI,Anguilla,,,,
The Fountain,AI,Anguilla,,,,
The Quarter,AI,Anguilla,,,,
The Valley,AI,Anguilla,,,,
Wattices,AI,Anguilla,,,,
Welches Hill,AI,Anguilla,,,,
West End Village,AI,Anguilla,,,,
White Hill,AI,Anguilla,,,,
Berat,AL,Albania,01,Berat County,,
Kuçovë,AL,Albania,01,Berat County,,
Ura Vajgurore,AL,Albania,01,Berat County,,
Durrës,AL,Albania,02,Durrës County,,
Elbasan,AL,Albania,03,Elbasan County,,
Gramsh,AL,Albania,03,Elbasan County,,
Librazhd,AL,Albania,03,Elbasan County,,
Divjakë,AL,Albania,04,Fier County,,
Fier,AL,Albania,04,Fier County,,
Fier-Çifçi,AL,Albania,04,Fier County,,
Lushnjë,AL,Albania,04,Fier County,,
Patos Fshat,AL,Albania,04,Fier County,,
Gjirokastër,AL,Albania,05,Gjirokastër County,,
Kosovë,AL,Albania,05,Gjirokastër County,,
Tepelenë,AL,Albania,05,Gjirokastër County,,
Korçë,AL,Albania,06,Korçë County,,
Pogradec,AL,Albania,06,Korçë County,,
Bajram Curri,AL,Albania,07,Kukës County,,
Krumë,AL,Albania,07,Kukës County,,
Kukës,AL,Albania,07,Kukës County,,
Laç,AL,Albania,08,Lezhë County,,
Lezhë,AL,Albania,08,Lezhë County,,
Burrel,AL,Albania,09,Dibër County,,
Peshkopi,AL,Albania,09,Dibër County,,
Berisha e Vendit,AL,Albania,10,Shkodër County,,
Shkodër,AL,Albania,10,Shkodër County,,
Kavajë,AL,Albania,11,Tirana,,
Tirana,AL,Albania,11,Tirana,,
Vorë,AL,Albania,11,Tirana,,
Sarandë,AL,Albania,12,Vlorë County,,
Vlorë,AL,Albania,12,Vlorë County,,
Ashtarak,AM,Armenia,AG,Aragatsotn,,
Ararat,AM,Armenia,AR,Ararat,,
Artashat,AM,Armenia,AR,Ararat,,
Dashtavan,AM,Armenia,AR,Ararat,,
Getazat,AM,Armenia,AR,Ararat,,
Masis,AM,Armenia,AR,Ararat,,
Vedi,AM,Armenia,AR,Ararat,,
Armavir,AM,Armenia,AV,Armavir,,
Vagharshapat,AM,Armenia,AV,Armavir,,
Yerevan,AM,Armenia,ER,Yerevan,,
Dzoragyugh,AM,Armenia,GR,Gegharkunik,,
Gavarr,AM,Armenia,GR,Gegharkunik,,
Abovyan,AM,Armenia,KT,Kotayk,,
Hrazdan,AM,Armenia,KT,Kotayk,,
Kotayk,AM,Armenia,KT,Kotayk,,
Nor Geghi,AM,Armenia,KT,Kotayk,,
Tsaghkadzor,AM,Armenia,KT,Kotayk,,
Step'anavan,AM,Armenia,LO,Lori,,
Vanadzor,AM,Armenia,LO,Lori,,
Gyumri,AM,Armenia,SH,Shirak,,
Shirak,AM,Armenia,SH,Shirak,,
Agarak,AM,Armenia,SU,Syunik,,
Goris,AM,Armenia,SU,Syunik,,
Kapan,AM,Armenia,SU,Syunik,,
Meghri,AM,Armenia,SU,Syunik,,
Berd,AM,Armenia,TV,Tavush,,
Dilijan,AM,Armenia,TV,Tavush,,
Ijevan,AM,Armenia,TV,Tavush,,
Krivoy Most,AM,Armenia,TV,Tavush,,
Jermuk,AM,Armenia,VD,Vayots Dzor,,
Malishka,AM,Armenia,VD,Vayots Dzor,,
Yeghegnadzor,AM,Armenia,VD,Vayots Dzor,,
Ambriz,AO,Angola,BGO,Bengo Province,,
Cazeta,AO,Angola,BGO,Bengo Province,,
Muxaluando,AO,Angola,BGO,Bengo Province,,
Piri,AO,Angola,BGO,Bengo Province,,
Benguela,AO,Angola,BGU,Benguela,,
Jorge,AO,Angola,BGU,Benguela,,
Lobito,AO,Angola,BGU,Benguela,,
Cuito,AO,Angola,BIE,Bíe,,
Buco Zau,AO,Angola,CAB,Cabinda,,
Cabinda,AO,Angola,CAB,Cabinda,,
Menongue,AO,Angola,CCU,Cuando Cobango,,
Ondjiva,AO,Angola,CNN,Cunene Province,,
Camabatela,AO,Angola,CNO,Cuanza Norte Province,,
N'dalatando,AO,Angola,CNO,Cuanza Norte Province,,
Malanje,AO,Angola,CUS,Kwanza Sul,,
Sumbe,AO,Angola,CUS,Kwanza Sul,,
Huambo,AO,Angola,HUA,Huambo,,
Cuvango,AO,Angola,HUI,Huíla,,
Lubango,AO,Angola,HUI,Huíla,,
Sul,AO,Angola,HUI,Huíla,,
Lucapa,AO,Angola,LNO,Luanda Norte,,
Saurimo,AO,Angola,LSU,Lunda Sul,,
Cacuaco,AO,Angola,LUA,Luanda Province,,
Luanda,AO,Angola,LUA,Luanda Province,,
Viana,AO,Angola,LUA,Luanda Province,,
Malanje,AO,Angola,MAL,Malanje Province,,
Soba Mundo,AO,Angola,MAL,Malanje Province,,
Cameia,AO,Angola,MOX,Moxico,,
Luena,AO,Angola,MOX,Moxico,,
Mossamedes,AO,Angola,NAM,Namibe Province,,
Sanza Pombo,AO,Angola,UIG,Uíge,,
Uíge,AO,Angola,UIG,Uíge,,
Soyo,AO,Angola,ZAI,Zaire,,
Aguaray,AR,Argentina,A,Salta,,
Apolinario Saravia,AR,Argentina,A,Salta,,
Cabeza de Anta,AR,Argentina,A,Salta,,
Cachi,AR,Argentina,A,Salta,,
Cafayate,AR,Argentina,A,Salta,,
Campo Quijano,AR,Argentina,A,Salta,,
Cerrillos,AR,Argentina,A,Salta,,
El Bordo,AR,Argentina,A,Salta,,
El Carril,AR,Argentina,A,Salta,,
El Quebrachal,AR,Argentina,A,Salta,,
Embarcación,AR,Argentina,A,Salta,,
General Güemes,AR,Argentina,A,Salta,,
General Mosconi,AR,Argentina,A,Salta,,
Hipólito Yrigoyen,AR,Argentina,A,Salta,,
La Angostura,AR,Argentina,A,Salta,,
La Caldera,AR,Argentina,A,Salta,,
La Merced,AR,Argentina,A,Salta,,
Las Lajitas,AR,Argentina,A,Salta,,
Orán,AR,Argentina,A,Salta,,
Pichanal,AR,Argentina,A,Salta,,
Puerto La Paz,AR,Argentina,A,Salta,,
Rosario de Lerma,AR,Argentina,A,Salta,,
Rosario de la Frontera,AR,Argentina,A,Salta,,
Salta,AR,Argentina,A,Salta,,
San Fernando de Escoipe,AR,Argentina,A,Salta,,
San José de Metán,AR,Argentina,A,Salta,,
San Lorenzo,AR,Argentina,A,Salta,,
Tartagal,AR,Argentina,A,Salta,,
Abasto,AR,Argentina,B,Buenos Aires,,
Acassuso,AR,Argentina,B,Buenos Aires,,
Acevedo,AR,Argentina,B,Buenos Aires,,
Adolfo Gonzáles Chaves,AR,Argentina,B,Buenos Aires,,
Adrogué,AR,Argentina,B,Buenos Aires,,
Agustín Roca,AR,Argentina,B,Buenos Aires,,
Alberti,AR,Argentina,B,Buenos Aires,,
Aldo Bonzi,AR,Argentina,B,Buenos Aires,,
Alejandro Korn,AR,Argentina,B,Buenos Aires,,
Almirante Brown,AR,Argentina,B,Buenos Aires,,
América,AR,Argentina,B,Buenos Aires,,
Antonio Carboni,AR,Argentina,B,Buenos Aires,,
Arenaza,AR,Argentina,B,Buenos Aires,,
Arrecifes,AR,Argentina,B,Buenos Aires,,
Arribeños,AR,Argentina,B,Buenos Aires,,
Arroyo Corto,AR,Argentina,B,Buenos Aires,,
Arroyo Dulce,AR,Argentina,B,Buenos Aires,,
Arturo Seguí,AR,Argentina,B,Buenos Aires,,
Ascensión,AR,Argentina,B,Buenos Aires,,
Avellaneda,AR,Argentina,B,Buenos Aires,,
Ayacucho,AR,Argentina,B,Buenos Aires,,
Azucena,AR,Argentina,B,Buenos Aires,,
Azul,AR,Argentina,B,Buenos Aires,,
Bahía Blanca,AR,Argentina,B,Buenos Aires,,
Balcarce,AR,Argentina,B,Buenos Aires,,
Banfield,AR,Argentina,B,Buenos Aires,,
Baradero,AR,Argentina,B,Buenos Aires,,
Barker,AR,Argentina,B,Buenos Aires,,
Batán,AR,Argentina,B,Buenos Aires,,
Beccar,AR,Argentina,B,Buenos Aires,,
Bella Vista,AR,Argentina,B,Buenos Aires,,
Belén de Escobar,AR,Argentina,B,Buenos Aires,,
Benavídez,AR,Argentina,B,Buenos Aires,,
Benito Juárez,AR,Argentina,B,Buenos Aires,,
Berazategui,AR,Argentina,B,Buenos Aires,,
Berisso,AR,Argentina,B,Buenos Aires,,
Bermúdez,AR,Argentina,B,Buenos Aires,,
Bernal,AR,Argentina,B,Buenos Aires,,
Bernal Oeste,AR,Argentina,B,Buenos Aires,,
Berutti,AR,Argentina,B,Buenos Aires,,
Billinghurst,AR,Argentina,B,Buenos Aires,,
Bordenave,AR,Argentina,B,Buenos Aires,,
Bosques,AR,Argentina,B,Buenos Aires,,
Boulogne Sur Mer,AR,Argentina,B,Buenos Aires,,
Bragado,AR,Argentina,B,Buenos Aires,,
Burzaco,AR,Argentina,B,Buenos Aires,,
Cabildo,AR,Argentina,B,Buenos Aires,,
Cacharí,AR,Argentina,B,Buenos Aires,,
Campana,AR,Argentina,B,Buenos Aires,,
Canning,AR,Argentina,B,Buenos Aires,,
Capilla del Señor,AR,Argentina,B,Buenos Aires,,
Capitán Sarmiento,AR,Argentina,B,Buenos Aires,,
Carapachay,AR,Argentina,B,Buenos Aires,,
Carhué,AR,Argentina,B,Buenos Aires,,
Carlos Casares,AR,Argentina,B,Buenos Aires,,
Carlos Spegazzini,AR,Argentina,B,Buenos Aires,,
Carlos Tejedor,AR,Argentina,B,Buenos Aires,,
Carmen de Areco,AR,Argentina,B,Buenos Aires,,
Carmen de Patagones,AR,Argentina,B,Buenos Aires,,
Casbas,AR,Argentina,B,Buenos Aires,,
Caseros,AR,Argentina,B,Buenos Aires,,
Castelar,AR,Argentina,B,Buenos Aires,,
Castelli,AR,Argentina,B,Buenos Aires,,
Cazón,AR,Argentina,B,Buenos Aires,,
Cañada Seca,AR,Argentina,B,Buenos Aires,,
Cañuelas,AR,Argentina,B,Buenos Aires,,
Chacabuco,AR,Argentina,B,Buenos Aires,,
Chascomús,AR,Argentina,B,Buenos Aires,,
Chillar,AR,Argentina,B,Buenos Aires,,
Chivilcoy,AR,Argentina,B,Buenos Aires,,
City Bell,AR,Argentina,B,Buenos Aires,,
Ciudad Evita,AR,Argentina,B,Buenos Aires,,
Ciudad Jardín Lomas del Palomar,AR,Argentina,B,Buenos Aires,,
Ciudad Madero,AR,Argentina,B,Buenos Aires,,
Ciudad del Libertador General San Martín,AR,Argentina,B,Buenos Aires,,
Ciudadela,AR,Argentina,B,Buenos Aires,,
Claypole,AR,Argentina,B,Buenos Aires,,
Colón,AR,Argentina,B,Buenos Aires,,
Comandante Nicanor Otamendi,AR,Argentina,B,Buenos Aires,,
Conesa,AR,Argentina,B,Buenos Aires,,
Coronel Brandsen,AR,Argentina,B,Buenos Aires,,
Coronel Dorrego,AR,Argentina,B,Buenos Aires,,
Coronel Pringles,AR,Argentina,B,Buenos Aires,,
Coronel Suárez,AR,Argentina,B,Buenos Aires,,
Coronel Vidal,AR,Argentina,B,Buenos Aires,,
Curarú,AR,Argentina,B,Buenos Aires,,
Daireaux,AR,Argentina,B,Buenos Aires,,
Darregueira,AR,Argentina,B,Buenos Aires,,
Del Viso,AR,Argentina,B,Buenos Aires,,
Dique Luján,AR,Argentina,B,Buenos Aires,,
Dock Sud,AR,Argentina,B,Buenos Aires,,
Dolores,AR,Argentina,B,Buenos Aires,,
Don Bosco,AR,Argentina,B,Buenos Aires,,
Don Torcuato,AR,Argentina,B,Buenos Aires,,
Dudignac,AR,Argentina,B,Buenos Aires,,
El Palomar,AR,Argentina,B,Buenos Aires,,
El Talar,AR,Argentina,B,Buenos Aires,,
El Triunfo,AR,Argentina,B,Buenos Aires,,
Empalme San Vicente,AR,Argentina,B,Buenos Aires,,
Ensenada,AR,Argentina,B,Buenos Aires,,
Espartillar,AR,Argentina,B,Buenos Aires,,
Ezeiza,AR,Argentina,B,Buenos Aires,,
Ezpeleta,AR,Argentina,B,Buenos Aires,,
Felipe Solá,AR,Argentina,B,Buenos Aires,,
Ferré,AR,Argentina,B,Buenos Aires,,
Florentino Ameghino,AR,Argentina,B,Buenos Aires,,
Florida,AR,Argentina,B,Buenos Aires,,
Florida Oeste,AR,Argentina,B,Buenos Aires,,
Francisco Álvarez,AR,Argentina,B,Buenos Aires,,
Fátima,AR,Argentina,B,Buenos Aires,,
Gahan,AR,Argentina,B,Buenos Aires,,
Garré,AR,Argentina,B,Buenos Aires,,
Garín,AR,Argentina,B,Buenos Aires,,
General Alvear,AR,Argentina,B,Buenos Aires,,
General Arenales,AR,Argentina,B,Buenos Aires,,
General Belgrano,AR,Argentina,B,Buenos Aires,,
General Daniel Cerri,AR,Argentina,B,Buenos Aires,,
General Guido,AR,Argentina,B,Buenos Aires,,
General Juan Madariaga,AR,Argentina,B,Buenos Aires,,
General La Madrid,AR,Argentina,B,Buenos Aires,,
General Las Heras,AR,Argentina,B,Buenos Aires,,
General Pacheco,AR,Argentina,B,Buenos Aires,,
General Pinto,AR,Argentina,B,Buenos Aires,,
General Pirán,AR,Argentina,B,Buenos Aires,,
General Rodríguez,AR,Argentina,B,Buenos Aires,,
General Rojo,AR,Argentina,B,Buenos Aires,,
General Villegas,AR,Argentina,B,Buenos Aires,,
Gerli,AR,Argentina,B,Buenos Aires,,
Germania,AR,Argentina,B,Buenos Aires,,
Glew,AR,Argentina,B,Buenos Aires,,
Gobernador Castro,AR,Argentina,B,Buenos Aires,,
González Catán,AR,Argentina,B,Buenos Aires,,
Gorostiaga,AR,Argentina,B,Buenos Aires,,
Grand Bourg,AR,Argentina,B,Buenos Aires,,
Guaminí,AR,Argentina,B,Buenos Aires,,
Guernica,AR,Argentina,B,Buenos Aires,,
Gómez,AR,Argentina,B,Buenos Aires,,
Haedo,AR,Argentina,B,Buenos Aires,,
Henderson,AR,Argentina,B,Buenos Aires,,
Huanguelén,AR,Argentina,B,Buenos Aires,,
Hurlingham,AR,Argentina,B,Buenos Aires,,
Ingeniero Adolfo Sourdeaux,AR,Argentina,B,Buenos Aires,,
Ingeniero Budge,AR,Argentina,B,Buenos Aires,,
Ingeniero Maschwitz,AR,Argentina,B,Buenos Aires,,
Ingeniero Otamendi,AR,Argentina,B,Buenos Aires,,
Ingeniero Pablo Nogués,AR,Argentina,B,Buenos Aires,,
Inés Indart,AR,Argentina,B,Buenos Aires,,
Isidro Casanova,AR,Argentina,B,Buenos Aires,,
Ituzaingó,AR,Argentina,B,Buenos Aires,,
Jeppener,AR,Argentina,B,Buenos Aires,,
José C. Paz,AR,Argentina,B,Buenos Aires,,
José Ingenieros,AR,Argentina,B,Buenos Aires,,
José Mármol,AR,Argentina,B,Buenos Aires,,
Juan Bautista Alberdi,AR,Argentina,B,Buenos Aires,,
Junín,AR,Argentina,B,Buenos Aires,,
La Lucila,AR,Argentina,B,Buenos Aires,,
La Plata,AR,Argentina,B,Buenos Aires,,
La Reja,AR,Argentina,B,Buenos Aires,,
La Tablada,AR,Argentina,B,Buenos Aires,,
La Tigra,AR,Argentina,B,Buenos Aires,,
Labardén,AR,Argentina,B,Buenos Aires,,
Laferrere,AR,Argentina,B,Buenos Aires,,
Laguna Alsina,AR,Argentina,B,Buenos Aires,,
Lanús,AR,Argentina,B,Buenos Aires,,
Lanús Oeste,AR,Argentina,B,Buenos Aires,,
Laprida,AR,Argentina,B,Buenos Aires,,
Las Armas,AR,Argentina,B,Buenos Aires,,
Las Flores,AR,Argentina,B,Buenos Aires,,
Las Toninas,AR,Argentina,B,Buenos Aires,,
Libertad,AR,Argentina,B,Buenos Aires,,
Libres del Sur,AR,Argentina,B,Buenos Aires,,
Lima,AR,Argentina,B,Buenos Aires,,
Lincoln,AR,Argentina,B,Buenos Aires,,
Llavallol,AR,Argentina,B,Buenos Aires,,
Lobería,AR,Argentina,B,Buenos Aires,,
Lobos,AR,Argentina,B,Buenos Aires,,
Loma Hermosa,AR,Argentina,B,Buenos Aires,,
Loma Verde,AR,Argentina,B,Buenos Aires,,
Lomas de Zamora,AR,Argentina,B,Buenos Aires,,
Lomas del Mirador,AR,Argentina,B,Buenos Aires,,
Longchamps,AR,Argentina,B,Buenos Aires,,
Los Cardales,AR,Argentina,B,Buenos Aires,,
Los Polvorines,AR,Argentina,B,Buenos Aires,,
Los Toldos,AR,Argentina,B,Buenos Aires,,
Luis Guillón,AR,Argentina,B,Buenos Aires,,
Luján,AR,Argentina,B,Buenos Aires,,
Luro,AR,Argentina,B,Buenos Aires,,
Magdalena,AR,Argentina,B,Buenos Aires,,
Maipú,AR,Argentina,B,Buenos Aires,,
Manuel Alberti,AR,Argentina,B,Buenos Aires,,
Manuel J. Cobo,AR,Argentina,B,Buenos Aires,,
Manuel Ocampo,AR,Argentina,B,Buenos Aires,,
Maquinista Savio,AR,Argentina,B,Buenos Aires,,
Mar de Ajó,AR,Argentina,B,Buenos Aires,,
Mar del Plata,AR,Argentina,B,Buenos Aires,,
Mar del Tuyú,AR,Argentina,B,Buenos Aires,,
Marcos Paz,AR,Argentina,B,Buenos Aires,,
Mariano Acosta,AR,Argentina,B,Buenos Aires,,
Mariano Moreno,AR,Argentina,B,Buenos Aires,,
Martín Coronado,AR,Argentina,B,Buenos Aires,,
Martínez,AR,Argentina,B,Buenos Aires,,
Matheu,AR,Argentina,B,Buenos Aires,,
Mayor Buratovich,AR,Argentina,B,Buenos Aires,,
Maza,AR,Argentina,B,Buenos Aires,,
Mechongué,AR,Argentina,B,Buenos Aires,,
Mercedes,AR,Argentina,B,Buenos Aires,,
Merlo,AR,Argentina,B,Buenos Aires,,
Ministro Rivadavia,AR,Argentina,B,Buenos Aires,,
Miramar,AR,Argentina,B,Buenos Aires,,
Monte Grande,AR,Argentina,B,Buenos Aires,,
Monte Hermoso,AR,Argentina,B,Buenos Aires,,
Moquehuá,AR,Argentina,B,Buenos Aires,,
Moreno,AR,Argentina,B,Buenos Aires,,
Morón,AR,Argentina,B,Buenos Aires,,
Munro,AR,Argentina,B,Buenos Aires,,
Médanos,AR,Argentina,B,Buenos Aires,,
Napaleofú,AR,Argentina,B,Buenos Aires,,
Navarro,AR,Argentina,B,Buenos Aires,,
Necochea,AR,Argentina,B,Buenos Aires,,
Nicanor Olivera,AR,Argentina,B,Buenos Aires,,
Norberto de la Riestra,AR,Argentina,B,Buenos Aires,,
Nordelta,AR,Argentina,B,Buenos Aires,,
Nueve de Julio,AR,Argentina,B,Buenos Aires,,
Olavarría,AR,Argentina,B,Buenos Aires,,
Olivos,AR,Argentina,B,Buenos Aires,,
Once de Septiembre,AR,Argentina,B,Buenos Aires,,
Open Door,AR,Argentina,B,Buenos Aires,,
Oriente,AR,Argentina,B,Buenos Aires,,
Pablo Podestá,AR,Argentina,B,Buenos Aires,,
Paraje Miramar,AR,Argentina,B,Buenos Aires,,
Partido de General Alvarado,AR,Argentina,B,Buenos Aires,,
Paso del Rey,AR,Argentina,B,Buenos Aires,,
Pedro Luro,AR,Argentina,B,Buenos Aires,,
Pehuajó,AR,Argentina,B,Buenos Aires,,
Pellegrini,AR,Argentina,B,Buenos Aires,,
Pergamino,AR,Argentina,B,Buenos Aires,,
Piedritas,AR,Argentina,B,Buenos Aires,,
Pila,AR,Argentina,B,Buenos Aires,,
Pilar,AR,Argentina,B,Buenos Aires,,
Pinamar,AR,Argentina,B,Buenos Aires,,
Piñeyro,AR,Argentina,B,Buenos Aires,,
Pontevedra,AR,Argentina,B,Buenos Aires,,
Presidente Derqui,AR,Argentina,B,Buenos Aires,,
Punta Alta,AR,Argentina,B,Buenos Aires,,
Puán,AR,Argentina,B,Buenos Aires,,
Quilmes,AR,Argentina,B,Buenos Aires,,
Quilmes Oeste,AR,Argentina,B,Buenos Aires,,
Rafael Calzada,AR,Argentina,B,Buenos Aires,,
Rafael Castillo,AR,Argentina,B,Buenos Aires,,
Rafael Obligado,AR,Argentina,B,Buenos Aires,,
Ramallo,AR,Argentina,B,Buenos Aires,,
Ramos Mejía,AR,Argentina,B,Buenos Aires,,
Rancagua,AR,Argentina,B,Buenos Aires,,
Ranchos,AR,Argentina,B,Buenos Aires,,
Rauch,AR,Argentina,B,Buenos Aires,,
Rawson,AR,Argentina,B,Buenos Aires,,
Ricardo Rojas,AR,Argentina,B,Buenos Aires,,
Rincón de Milberg,AR,Argentina,B,Buenos Aires,,
Rivera,AR,Argentina,B,Buenos Aires,,
Roberts,AR,Argentina,B,Buenos Aires,,
Rojas,AR,Argentina,B,Buenos Aires,,
Roque Pérez,AR,Argentina,B,Buenos Aires,,
Rosas,AR,Argentina,B,Buenos Aires,,
Saavedra,AR,Argentina,B,Buenos Aires,,
Saladillo,AR,Argentina,B,Buenos Aires,,
Salazar,AR,Argentina,B,Buenos Aires,,
Salliqueló,AR,Argentina,B,Buenos Aires,,
Salto,AR,Argentina,B,Buenos Aires,,
San Andrés,AR,Argentina,B,Buenos Aires,,
San Andrés de Giles,AR,Argentina,B,Buenos Aires,,
San Antonio de Areco,AR,Argentina,B,Buenos Aires,,
San Antonio de Padua,AR,Argentina,B,Buenos Aires,,
San Bernardo,AR,Argentina,B,Buenos Aires,,
San Carlos,AR,Argentina,B,Buenos Aires,,
San Carlos de Bolívar,AR,Argentina,B,Buenos Aires,,
San Cayetano,AR,Argentina,B,Buenos Aires,,
San Clemente del Tuyú,AR,Argentina,B,Buenos Aires,,
San Fernando,AR,Argentina,B,Buenos Aires,,
San Francisco Solano,AR,Argentina,B,Buenos Aires,,
San Genaro,AR,Argentina,B,Buenos Aires,,
San Isidro,AR,Argentina,B,Buenos Aires,,
San Jorge,AR,Argentina,B,Buenos Aires,,
San José,AR,Argentina,B,Buenos Aires,,
San Juan Bautista,AR,Argentina,B,Buenos Aires,,
San Justo,AR,Argentina,B,Buenos Aires,,
San Manuel,AR,Argentina,B,Buenos Aires,,
San Miguel,AR,Argentina,B,Buenos Aires,,
San Miguel del Monte,AR,Argentina,B,Buenos Aires,,
San Nicolás de los Arroyos,AR,Argentina,B,Buenos Aires,,
San Patricio,AR,Argentina,B,Buenos Aires,,
San Pedro,AR,Argentina,B,Buenos Aires,,
Santa Clara del Mar,AR,Argentina,B,Buenos Aires,,
Santa Isabel,AR,Argentina,B,Buenos Aires,,
Santa María,AR,Argentina,B,Buenos Aires,,
Santa Teresita,AR,Argentina,B,Buenos Aires,,
Santos Lugares,AR,Argentina,B,Buenos Aires,,
Sarandí,AR,Argentina,B,Buenos Aires,,
Sierra de la Ventana,AR,Argentina,B,Buenos Aires,,
Suipacha,AR,Argentina,B,Buenos Aires,,
Sáenz Peña,AR,Argentina,B,Buenos Aires,,
Tandil,AR,Argentina,B,Buenos Aires,,
